iter	Passed	Remaining
0	145	144940
1	145	72705
2	146	48614
3	146	36570
4	147	29346
5	148	24521
6	148	21081
7	149	18504
8	149	16495
9	150	14886
10	150	13570
11	151	12473
12	152	11545
13	152	10767
14	153	10079
15	154	9471
16	154	8941
17	155	8476
18	156	8055
19	156	7690
20	157	7347
21	158	7031
22	158	6742
23	159	6476
24	159	6233
25	160	6007
26	160	5798
27	161	5604
28	161	5423
29	162	5255
30	163	5097
31	163	4950
32	164	4811
33	164	4681
34	165	4558
35	165	4442
36	166	4337
37	167	4234
38	167	4138
39	168	4045
40	169	3958
41	169	3873
42	170	3791
43	170	3713
44	171	3639
45	172	3568
46	172	3500
47	173	3434
48	173	3373
49	174	3313
50	175	3256
51	175	3200
52	176	3146
53	176	3095
54	177	3045
55	177	2997
56	178	2951
57	178	2905
58	179	2862
59	180	2820
60	180	2786
61	181	2749
62	182	2712
63	182	2676
64	183	2640
65	184	2606
66	184	2572
67	185	2540
68	185	2509
69	186	2479
70	187	2449
71	187	2421
72	188	2393
73	189	2366
74	189	2339
75	190	2314
76	191	2289
77	191	2265
78	192	2242
79	192	2219
80	193	2197
81	194	2175
82	194	2150
83	195	2136
84	196	2117
85	197	2097
86	198	2078
87	198	2060
88	199	2041
89	200	2024
90	200	2006
91	201	1989
92	202	1972
93	202	1956
94	203	1939
95	204	1924
96	205	1908
97	205	1893
98	206	1878
99	207	1864
100	207	1849
101	208	1836
102	209	1823
103	210	1811
104	211	1799
105	211	1786
106	212	1774
107	213	1765
108	214	1753
109	215	1741
110	215	1729
111	216	1717
112	217	1705
113	218	1694
114	218	1683
115	219	1672
116	220	1660
117	220	1650
118	221	1639
119	222	1629
120	223	1620
121	223	1610
122	224	1601
123	225	1593
124	226	1584
125	227	1575
126	227	1565
127	228	1556
128	229	1547
129	229	1538
130	230	1530
131	231	1521
132	232	1512
133	232	1504
134	233	1496
135	234	1488
136	234	1479
137	235	1472
138	236	1464
139	237	1458
140	238	1450
141	238	1442
142	239	1436
143	240	1430
144	241	1424
145	242	1417
146	243	1411
147	244	1404
148	244	1398
149	245	1392
150	246	1385
151	247	1379
152	247	1372
153	248	1366
154	249	1359
155	250	1353
156	250	1347
157	251	1342
158	252	1335
159	253	1330
160	254	1323
161	254	1318
162	255	1313
163	256	1307
164	257	1301
165	257	1296
166	258	1290
167	259	1284
168	260	1279
169	260	1274
170	261	1269
171	262	1264
172	263	1258
173	264	1253
174	264	1248
175	265	1243
176	266	1238
177	267	1233
178	267	1228
179	268	1225
180	269	1221
181	270	1217
182	271	1212
183	272	1208
184	273	1203
185	273	1198
186	274	1194
187	275	1189
188	276	1185
189	276	1180
190	277	1176
191	278	1171
192	279	1167
193	279	1163
194	280	1159
195	281	1154
196	282	1150
197	283	1146
198	284	1143
199	284	1139
200	285	1135
201	286	1131
202	287	1127
203	288	1123
204	288	1119
205	289	1115
206	290	1111
207	290	1108
208	291	1104
209	292	1100
210	293	1097
211	294	1093
212	294	1089
213	295	1085
214	296	1082
215	297	1078
216	298	1076
217	299	1073
218	299	1069
219	300	1066
220	301	1062
221	302	1059
222	303	1056
223	304	1053
224	304	1050
225	305	1046
226	306	1043
227	307	1040
228	308	1037
229	308	1033
230	309	1030
231	310	1027
232	311	1023
233	311	1020
234	312	1018
235	313	1016
236	314	1013
237	315	1010
238	316	1007
239	317	1004
240	317	1000
241	318	997
242	319	994
243	320	992
244	320	989
245	321	986
246	322	982
247	323	979
248	323	976
249	324	973
250	325	970
251	326	967
252	326	964
253	327	963
254	328	960
255	329	957
256	330	954
257	330	951
258	331	949
259	332	946
260	333	943
261	334	940
262	334	938
263	335	935
264	336	932
265	336	929
266	337	927
267	338	924
268	339	921
269	339	918
270	340	916
271	341	913
272	342	911
273	343	909
274	344	907
275	344	904
276	345	902
277	346	899
278	347	897
279	348	895
280	349	893
281	349	890
282	350	888
283	351	885
284	352	883
285	352	880
286	353	878
287	354	875
288	355	873
289	355	870
290	356	868
291	357	866
292	358	864
293	359	862
294	359	860
295	360	857
296	361	855
297	362	853
298	363	851
299	363	848
300	364	846
301	365	844
302	366	841
303	366	839
304	367	837
305	368	835
306	369	832
307	369	830
308	370	828
309	371	826
310	372	824
311	373	822
312	373	820
313	374	818
314	375	816
315	376	814
316	376	812
317	377	809
318	378	807
319	379	805
320	379	803
321	380	801
322	381	799
323	382	797
324	383	795
325	383	793
326	384	791
327	385	789
328	386	788
329	387	786
330	388	784
331	389	782
332	389	780
333	390	779
334	391	777
335	392	775
336	393	773
337	394	771
338	394	770
339	395	768
340	396	766
341	397	764
342	398	762
343	398	760
344	399	758
345	400	756
346	401	754
347	401	752
348	402	751
349	403	749
350	404	747
351	404	745
352	405	743
353	406	741
354	406	739
355	407	737
356	408	735
357	409	733
358	409	732
359	410	730
360	411	728
361	412	726
362	412	724
363	413	722
364	414	721
365	415	719
366	416	717
367	416	716
368	417	714
369	418	712
370	419	710
371	420	709
372	420	707
373	421	705
374	422	703
375	423	702
376	423	700
377	424	699
378	425	697
379	426	695
380	427	694
381	428	692
382	428	691
383	430	690
384	431	689
385	433	689
386	434	688
387	435	687
388	437	686
389	438	685
390	441	688
391	442	687
392	444	686
393	445	684
394	446	683
395	447	682
396	448	681
397	449	679
398	450	678
399	451	676
400	452	675
401	453	674
402	454	672
403	455	671
404	455	669
405	456	668
406	457	667
407	458	665
408	459	664
409	460	663
410	461	661
411	462	660
412	463	659
413	464	657
414	465	656
415	466	654
416	467	653
417	468	651
418	468	650
419	469	648
420	470	647
421	471	646
